Zip Code,Fiscal Year,No. of Awards,Grant Dollars,Grantor
10029,1997,58,"$562,512",New York
10029,1998,34,"$612,946",New York
10029,1999,36,"$633,634",New York
10030,1987,24,"$339,000",New York
10030,1988,16,"$321,274",New York
10030,1989,16,"$244,500",New York
10030,1990,16,"$646,700",New York
10030,1991,18,"$330,880",New York
10030,1992,20,"$229,910",New York
10030,1993,18,"$256,848",New York
10030,1994,20,"$456,324",New York
10030,1995,22,"$696,522",New York
10030,1996,20,"$521,532",New York
10030,1997,18,"$684,956",New York
10030,1998,14,"$639,168",New York
10030,1999,12,"$648,102",New York
10031,1987,32,"$330,400",New York
10031,1988,46,"$974,600",New York
10031,1989,30,"$1,017,800",New York
10031,1990,26,"$1,107,560",New York
10031,1990,4,"$20,000",Puerto Rico
10031,1991,24,"$906,800",New York
10031,1992,30,"$573,398",New York
10031,1993,24,"$461,856",New York
10031,1994,2,"$2,000",Mid Atlantic Arts Foundation
10031,1994,22,"$526,886",New York
10031,1995,2,"$5,910",Mid Atlantic Arts Foundation
10031,1995,24,"$554,800",New York
10031,1996,38,"$586,106",New York
10031,1996,2,$200,South Carolina
10031,1997,6,"$25,850",Mid Atlantic Arts Foundation
10031,1997,44,"$645,044",New York
10031,1998,4,"$17,138",Mid Atlantic Arts Foundation
10031,1998,34,"$767,700",New York
10031,1999,46,"$941,000",New York
10032,1987,20,"$285,750",New York
10032,1988,2,"$2,000",Minnesota
10032,1988,20,"$274,550",New York
10032,1989,32,"$335,770",New York
10032,1989,2,"$9,218",Ohio
10032,1990,6,"$24,000",New York
10032,1991,4,"$9,000",New York
10032,1991,2,"$1,200",Puerto Rico
10032,1992,2,"$1,840",New York
10032,1992,2,"$1,800",Washington
10032,1993,2,"$1,000",New York
10032,1995,2,"$16,000",New York
10032,1996,4,"$16,792",New York
10032,1997,2,"$6,000",New York
10032,1998,4,"$27,000",New York
10032,1999,6,"$54,200",New York
10033,1987,4,"$4,000",New York
10033,1988,10,"$26,000",New York
10033,1989,14,"$40,000",New York
10033,1990,18,"$72,000",New York
10033,1991,6,"$51,000",New York
10033,1991,2,"$1,000",Puerto Rico
10033,1992,4,"$29,400",New York
10033,1993,12,"$56,050",New York
10033,1994,2,"$6,960",New York
10033,1995,4,"$42,000",New York
10033,1996,4,"$13,510",New York
10033,1997,2,"$12,600",New York
10033,1998,4,"$14,000",New York
10033,1999,2,"$3,000",Connecticut
10033,1999,2,"$4,000",New York
10035,1987,4,"$33,000",New York
10035,1988,4,"$33,600",New York
10035,1989,4,"$34,000",New York
10035,1990,6,"$54,000",New York
10035,1991,4,"$93,740",New York
10035,1992,6,"$43,536",New York
10035,1993,8,"$101,656",New York
10035,1994,4,"$80,000",New York
10035,1995,6,"$180,000",New York
10035,1996,8,"$175,824",New York
10035,1997,22,"$244,274",New York
10035,1998,12,"$189,200",New York
10035,1999,10,"$204,600",New York
10036,1986,2,"$17,780",Pennsylvania
10036,1987,184,"$2,857,950",New York
10036,1988,2,"$1,156",Nevada
10036,1988,164,"$2,756,890",New York
10036,1988,2,$64,Utah
10036,1989,2,"$16,000",Nevada
10036,1989,192,"$2,393,496",New York
10036,1989,2,$64,Utah
10036,1990,134,"$2,513,480",New York
10036,1990,4,$88,Utah
10036,1991,130,"$2,315,496",New York
10036,1991,2,$104,Utah
10036,1992,168,"$1,244,822",New York
10036,1993,2,"$10,000",New Jersey
10036,1993,104,"$980,250",New York
10036,1993,2,"$1,600",Puerto Rico
10036,1994,2,"$10,000",Mid Atlantic Arts Foundation
10036,1994,88,"$969,976",New York
10036,1995,118,"$1,243,098",New York
10036,1996,114,"$1,141,424",New York
10036,1996,2,"$6,000",Ohio
10036,1997,128,"$1,240,402",New York
10036,1997,4,"$6,000",Ohio
10036,1998,100,"$1,225,052",New York
10036,1999,4,"$17,700",Mid Atlantic Arts Foundation
10036,1999,120,"$1,589,530",New York
10037,1987,4,"$10,390",New York
10038,1986,2,"$2,000",Massachusetts
10038,1987,98,"$5,107,204",New York
10038,1988,90,"$5,009,350",New York
10038,1989,2,"$17,940",Massachusetts
10038,1989,118,"$5,984,700",New York
10038,1989,4,"$10,000",Ohio
10038,1990,100,"$6,191,414",New York
10038,1990,2,"$3,000",North Carolina
10038,1991,58,"$617,750",New York
10038,1991,2,"$4,000",Ohio
10038,1992,34,"$111,428",New York
10038,1992,2,"$4,000",Ohio
